municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 02:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 03:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 04:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 05:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 06:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 07:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 08:10:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 09:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 10:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 11:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 12:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 13:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 14:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 15:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 16:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 17:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 18:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 19:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 20:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 20:40:00.0;chuva;0.20;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 21:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 22:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-07 23:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 00:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 01:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 02:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 03:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 04:10:00.0;chuva;0.00;
ARARANGUÁ;420140614H;SC;Rio Ararangua;-49.48753;-28.93003;13.61;2019-01-08 05:10:00.0;chuva;0.00;
